Dashboard Name,Spotify Playlist Name
Adults NSFW,Raunchy 2026 Hip-Hop Rap  🍑🍆 RATCHET EDITION ⚠️🙈 NSFW Adults OnLY
Album Cuts,🏆 2026 Hip-Hop Album Cuts of the Yea
Beats  🥁,🏆 2026 Hip-Hop Beats that are PURE FIYAH 🔥🔥🔥  Pureo Fuego
Best Hip Hop  🏆 Best,BEST Hip-Hop Rap of 2026 🏆 Upper Echelon 🏆 (updated weekly)
Best Hip Hop  🏆 Faves,❤️ PERSONAL FAVES ❤️ BEST Hip-Hop Rap of 2026
Best Hip Hop  🏆 Faves & Best,🏆 Upper Echelon 🏆 Hottest Hip-Hop Rap of 2026 💥 featuring BANGERS U MISSED 💥 (updated weekly)
Best Pack Hour 🏆,BEST Grown Rap 2026 🔥🔥🔥 Hottest Lyrical Street Hip-Hop Rap (updated weekly!)
Best Pop 🏆 Faves,BEST Pop Hip-Hop Xross Overs of 2026 💥updated weekly 💥 cross ova over hits
Best R&B 🏆 Best,BEST R&B of 2026 💥 featuring BANGERS U MISSED 💥
Best R&B 🏆 Faves,❤️ PERSONAL FAVES ❤️  2026 R&B
Best R&B 🏆 Faves & Best,🏆 Upper Echelon 🏆 BEST R&B of 2026 💥 featuring BANGERS U MISSED 💥 (updated weekly)
Big Tune,BIG TUNEZZ 💥💣💨 New 2026 Hip Hop & Rap BaNGerZ 📈🔊
BZZZ___R&B,Cruise Control 🚘 NEW 2026 R&B to ride to 🚗 💨
Chickens 🐔,Every Thug Needs a Lady 🔫 💅🏾Thug Luvin 🔫 💅🏾 NEW 2026 Hip-Hop R&B  (updated weekly)
CLUB #OBFH/ Metaverse,RAP CAVIAR ON DA ZAZA  🍃 🍃 🍃 NEW 2026 Club Hip-Hop
CLUB #OBFH/_,NEW 2026 Club Hip-Hop hits 🧱 HARD SLAPPERZ 🧱 (updated weekly)
CLUB #OBFH/Slow,NEW 2026 Club Hip-Hop hits 🍆🍑 GRIND MODE 🍆🍑  (updated weekly)
CLUB #OBFH/Trappin,HOOD CLUB BANGAS 💥💣🔊 New 2026 Hip Hop & Rap TRAP HITZ (updated weekly)
Club #OBFH/Trappin/Slow,HOOD BANGAS 💥💣🔊 New 2026 Hip Hop & Rap STREET MUSIC ONLY 😤 (updated weekly)
DX/Pack Hour,Grown Man Rap  🔊💥📈 New 2026 Lyrical Street Hip-Hop Rap (updated weekly!)
DX/Pack Hour/Slow,Grown Rap 2.0 🔊💥📈 New 2026 Lyrical Street Hip-Hop Rap (updated weekly!)
DX/TikTok in da Metaverse/_,🔥 NEW RAP HEAT 🔥  2026 Hip-Hop (updated weekly)
DX/TikTok in da Metaverse/Slow,Rap Barz & Melodiez 🔥 HOT 🔥 NEW Hip-Hop 2026 (updated weekly)
DX/Trappin,REAL LIFE TRAPPIN 🔥 HOT 🔥 NEW 2026 Big Steppa 👟 👟  Rap  (upated weekly)
Features,🏆 2026 Hip-Hop Best Featured Guest  Verse #BARS
Female,💅🏾 NeW 2026 Women Hip-Hop / Female Rap (updated weekly)
Granola Backpack,BEST NEW 2026 Conscious Hip-Hop
Interludes,☄️ Interludes
Jersey,2026 Jersey Club 🕺🏾🥯  NEW Hip-Hop Rap Bangers from da Garden State NJ
Late Night/UK Drill,Issa UK Drill ☕️🫖🔫  New British Hip-Hop Rap of 2026 💥 (updated weekly)
Late Night/_,LATE NITE RIDIN HIP HOP  🚘 NEW 2026 Rap to ride to 🚗 💨
Late Night/420 Ridazzz,LATE NITE 420 RIDIN HIP HOP  🚘 NEW 2026 Rap 🗣💥🍃 💨
Late Night/ALL,Cruise Control 🚘 NEW 2026 Hip-Hop/R&B to bump in da whip 🚗 💨 (updated weekly)
Late Night/Granola Backpack,BEST NEW 2026 Conscious Hip-Hop
Late Night/Los Angeles (LA),🌴☀️ New West Coast Hip-Hop 2026 HEAT 🔥  LA BAY  Rap 🔫🚗🗣🍃💨
Late Night/Metaverse/_,LATE NITE RIDIN HIP HOP 🛰️ Space Age Trappin 🛰️ New 2026 Rap (updated weekly)
Late Night/Pack Hour,Grown Rap 2026 🔊💥📈 New Lyrical Street Hip-Hop Rap for ridin 💨🍃🚗 (updated weekly!)
Late Night/R&B,Cruise Control 🚘 NEW 2026 R&B to ride to 🚗 💨
Late Night/Sexy Drill,NEW 2026 S3XY DRILL NO DIDDY 🍑🍆🔫 FIYAH SEXY R&B Hip-Hop Rap 💥 (updated weekly)
Late Night/South,DA SOUF /// NEW 2026 SOUTH RAP HIP HOP  💥  (updated weekly)
Late Night/Texas 🌵,Texas Slab Ridin 🌵🚗💨🔫 New Hip-Hop Rap of 2026  💥 (updated weekly)
Late Night/Trappin,Late Night Trappin 🚘🔫 NEW 2026 Hip-Hop Rap to slide to 🚗 💨
Midwest,New Midwest 2026 Hip-Hop / Rap  🟣🥤🔫🚗📈 Michigan + Flint 
NAGA NEXT SHOW ▶️,▶️ NAGA NEXT SHOW
NAGA NEXT SHOW - PACK,▶️ NNS / Pack Hour

NYC,Drill Hype 2.0 🗽🔥🔊 New 2026 NYC Hip-Hop Rap

Punchlines 🥊 ,Bars / Punchlines / BEST NEW 2026 SPITTAS 🗣💦 (NO DIDDY) Hip-Hop Rap
Rains in da Metaverse,NEW 2026 R&B vibezz to play when it Rains ☔️ or for da Feelz 🤗   (updated weekly)
Reggae 🇯🇲,🇯🇲 NEW 2026 Reggae-ish / Caribbean Hip-Hop R&B mashups tings dem
Remix - TO REMIX,🎛️ TO REMIX/
Sample Flips,💿 Sample Flips 💿
Sexy Drill,NEW 2026 S3XY DRILL NO DIDDY 🍑🍆🔫 FIYAH SEXY R&B Hip-Hop Rap 💥 (updated weekly)
Snap ViRaL,ViRaL 🦠👻  NEW 2026 Hip-Hop Rap BANGERS (updated weekly)

Thug Luv,Every Thug Needs a Lady 🔫 💅🏾Thug Luvin 🔫 💅🏾 NEW 2026 Hip-Hop R&B 4d chickens (updated weekly)
Trappin/Metaverse/Slow,RIDIN THRU DA OPP BLOCK 🔫🚗  NEW 2026 slide music 🔥 Rap Hitz 🔥 (updated weekly)
UK Drill,Issa UK Drill ☕️🫖🔫  NEW 2026  British Hip-Hop Rap 💥 (updated weekly)
Ultra Combo,🤯 Morty's Mind Blowers *ayo* 🤯 Best New 2026 Hip-Hop Rap // Ultra SMACKERZ edition // (updated weekly)
ViRaL 🦠,ViRaL 🦠👻  NEW 2026 Hip-Hop Rap BANGERS
ViRaL 🦠 Trappin,FuLLy BASED🦠 ViRaL Rap 🔥 NEW 🔥 Hip-Hop 2026 (updated weekly)
2000s Retro Throwback,New Hip Hop & Rap with a Retro 2000s sound
